id,name,type ,age ,function,representation ,position,organisation
th,Thomas Hitzlsperger,0,38,V,"S,K, ST",Vor,daf
os,Oliver Schraft,0,53,V,K,M,kc
cv,Claus Vogt,0,51,AR,n/a,Vor,"ig, fcpf"
wp,Wilfried Porth,0,62,AR,n/a,StVor,"dag, mcb, hmss, swm"
ra,Rainer Adrion,0,67,AR,S,M,elf
hj,Hartmut Jenner,0,55,AR,n/a,StVor,"ak, akf"
fr,Franz Reiner,0,53,AR,n/a,M,dma
bs,Bertram Sugg,0,55,AR,n/a,M,"rb, fcc"
tk,Tobis Keller,0,n/a,V,"F, V, ST",IVor,n/a
daf,Deutsche Akademie fuer Fussballkultur,1,n/a,n/a,n/a,n/a,n/a
kc,Kommission Clubmedien,1,n/a,n/a,n/a,n/a,n/a
ig,Intensia Group,1,n/a,n/a,n/a,n/a,n/a
fcpf,FC PlayFair! e.V.,1,n/a,n/a,n/a,n/a,n/a
dag,Daimler AG,1,n/a,n/a,n/a,n/a,n/a
mcb,Mercedes-Benz Bank,1,n/a,n/a,n/a,n/a,n/a
hmss,Hanns Martin Schleyer-Stiftung,1,n/a,n/a,n/a,n/a,n/a
swm,Suedwestmetall,1,n/a,n/a,n/a,n/a,n/a
elf,11hilft e.V.,1,n/a,n/a,n/a,n/a,n/a
ak,Alfred Kaercher SE & Co. KG,1,n/a,n/a,n/a,n/a,n/a
akf,Alfred-Kaercher-Foerderstiftung,1,n/a,n/a,n/a,n/a,n/a
dma,Daimler Mobility AG,1,n/a,n/a,n/a,n/a,n/a
rb,Robert Bosch GmBH,1,n/a,n/a,n/a,n/a,n/a
fcc,Fanclub Courage Gerlingen,1,n/a,n/a,n/a,n/a,n/a
v,Vorstand,1,n/a,n/a,n/a,n/a,n/a
a,Aufsichtsrat,1,n/a,n/a,n/a,n/a,n/a
