id,name,type ,age ,function,representation ,position,organisation
th,Tomas Hitzlsperger,0,38,V,"S,K, ST",Vor,daf
os,Oliver Schraft,0,53,V,K,M,kc
cv,Claus Vogt,0,51,AR,NA,Vor,"ig, fcpf"
wp,Wilfried Porth,0,62,AR,NA,StVor,"dag, mcb, hmss, swm"
ra,Rainer Adrion,0,67,AR,S,M,elf
hj,Hartmut Jenner,0,55,AR,NA,StVor,"ak, akf"
fr,Franz Reiner,0,53,AR,NA,M,dma
bs,Bertram Sugg,0,55,AR,NA,M,"rb, fcc"
tk,Tobis Keller,0,NA,AR,"F, V, ST",IVor,NA
daf,Deutsche Akademie für Fußballkultur,1,,,,,
kc,Kommission Clubmedien,1,,,,,
ig,Intensia Group,1,,,,,
fcpf,FC PlayFair! e.V.,1,,,,,
dag,Daimler AG,1,,,,,
mcb,Mercedes-Benz Bank,1,,,,,
hmss,Hanns Martin Schleyer-Stiftung,1,,,,,
swm,Südwestmetall,1,,,,,
elf,11hilft e.V.,1,,,,,
ak,Alfred Kärcher SE & Co. KG,1,,,,,
akf,Alfred-Kärcher-Förderstiftung,1,,,,,
dma,Daimler Mobility AG,1,,,,,
rb,Robert Bosch GmBH,1,,,,,
fcc,Fanclub Courage Gerlingen,1,,,,,
v,Vorstand,1,,,,,
a,Aufsichtsrat,,,,,,
